,Hospital Name,Hospital Type,City,County,State,# of Licensed Beds,# of Staffed Beds,# of ICU Beds,# of Adult ICU Beds,# of Pediatric ICU Beds,Bed Utilization Rate,Potential Increase in Bed Capacity,Average Ventilator Usage
1104,Crossroads Community Hospital,Short Term Acute Care Hospital,Mount Vernon,Jefferson,Illinois,47.0,47.0,7,7,0.0,0.1953949,0,2.0
1105,SSM Health Good Samaritan Hospital - Mt Vernon (FKA Good Samaritan Regional Health Center),Short Term Acute Care Hospital,Mount Vernon,Jefferson,Illinois,134.0,124.0,15,15,0.0,0.582258,10,8.0
1106,Jersey Community Hospital,Short Term Acute Care Hospital,Jerseyville,Jersey,Illinois,65.0,46.0,4,4,0.0,0.1521143,19,2.0
1107,Midwest Medical Center,Critical Access Hospital,Galena,Jo Daviess,Illinois,25.0,18.0,3,3,0.0,0.2642192,7,0.0
1108,AMITA Health Mercy Medical Center Aurora (FKA Presence Mercy Medical Center),Short Term Acute Care Hospital,Aurora,Kane,Illinois,292.0,188.0,33,33,0.0,0.3634363,104,6.0
1109,Northwestern Medicine Delnor Hospital (FKA Delnor Community Hospital),Short Term Acute Care Hospital,Geneva,Kane,Illinois,159.0,144.0,20,20,0.0,0.5530822,15,3.0
1110,AMITA Health Saint Joseph Hospital Elgin (FKA Presence Saint Joseph Hospital - Elgin),Short Term Acute Care Hospital,Elgin,Kane,Illinois,184.0,144.0,15,15,0.0,0.4883752,40,5.0
1111,Rush Copley Medical Center,Short Term Acute Care Hospital,Aurora,Kane,Illinois,210.0,192.0,22,22,13.0,0.5095605,18,9.0
1112,Advocate Sherman Hospital,Short Term Acute Care Hospital,Elgin,Kane,Illinois,255.0,255.0,30,30,0.0,0.5789095,0,9.0
1113,AMITA Health St Marys Hospital Kankakee (FKA Presence St Marys Hospital),Short Term Acute Care Hospital,Kankakee,Kankakee,Illinois,182.0,169.0,9,9,0.0,0.3294642,13,6.0
1114,Riverside Medical Center,Short Term Acute Care Hospital,Kankakee,Kankakee,Illinois,318.0,291.0,18,18,0.0,0.4744528,27,14.0
1115,Galesburg Cottage Hospital,Short Term Acute Care Hospital,Galesburg,Knox,Illinois,173.0,96.0,12,12,0.0,0.1697489,77,2.0
1116,OSF St Mary Medical Center,Short Term Acute Care Hospital,Galesburg,Knox,Illinois,81.0,81.0,6,6,0.0,0.4563166,0,5.0
1117,Vista Medical Center - East (AKA Vista Health System),Short Term Acute Care Hospital,Waukegan,Lake,Illinois,228.0,190.0,23,23,0.0,0.5566835,38,5.0
1118,Lake Behavioral Hospital (FKA Vista Medical Center - West),Psychiatric Hospital,Waukegan,Lake,Illinois,71.0,,0,0,0.0,,71,0.0
1119,Cancer Treatment Centers of America - Chicago,Short Term Acute Care Hospital,Zion,Lake,Illinois,73.0,73.0,24,24,0.0,0.3047101,0,2.0
1120,Advocate Condell Medical Center,Short Term Acute Care Hospital,Libertyville,Lake,Illinois,273.0,273.0,17,17,0.0,0.6778664,0,7.0
1121,Northwestern Medicine Lake Forest Hospital,Short Term Acute Care Hospital,Lake Forest,Lake,Illinois,198.0,114.0,12,12,0.0,0.6997356,84,5.0
1122,Captain James A Lovell Federal Health Care Center,VA Hospital,North Chicago,Lake,Illinois,100.0,100.0,1,1,,,0,1.0
1123,Advocate Good Shepherd Hospital,Short Term Acute Care Hospital,Barrington,Lake,Illinois,176.0,176.0,32,32,0.0,0.5885118,0,6.0
1124,OSF Saint Paul Medical Center (FKA Mendota Community Hospital),Critical Access Hospital,Mendota,LaSalle,Illinois,25.0,25.0,4,4,0.0,0.2158904,0,1.0
1125,Illinois Valley Community Hospital,Short Term Acute Care Hospital,Peru,LaSalle,Illinois,49.0,49.0,4,4,0.0,0.37948,0,2.0
1126,OSF Saint Elizabeth Medical Center (FKA Ottawa Regional Hosp & Hc Center),Short Term Acute Care Hospital,Ottawa,LaSalle,Illinois,97.0,90.0,5,5,0.0,0.3380822,7,2.0
1127,Lawrence County Memorial Hospital,Critical Access Hospital,Lawrenceville,Lawrence,Illinois,25.0,25.0,4,4,0.0,0.2183014,0,1.0
1128,Katherine Shaw Bethea Hospital,Short Term Acute Care Hospital,Dixon,Lee,Illinois,80.0,66.0,6,6,0.0,0.3259444,14,3.0
1129,OSF Saint James - John W Albrecht Medical Center,Short Term Acute Care Hospital,Pontiac,Livingston,Illinois,42.0,42.0,5,5,0.0,0.3907371,0,2.0
1130,Abraham Lincoln Memorial Hospital,Critical Access Hospital,Lincoln,Logan,Illinois,25.0,25.0,4,4,0.0,0.4810959,0,2.0
1131,McDonough District Hospital,Short Term Acute Care Hospital,Macomb,McDonough,Illinois,60.0,45.0,7,7,0.0,0.3105632,15,2.0
1132,Northwestern Medicine McHenry Hospital (FKA Centegra Hospital - McHenry),Short Term Acute Care Hospital,McHenry,McHenry,Illinois,179.0,296.0,30,30,0.0,0.6719175,-117,9.0
1133,Mercyhealth Hospital and Medical Center - Harvard,Critical Access Hospital,Harvard,McHenry,Illinois,63.0,13.0,3,3,0.0,0.2731296,50,2.0
1134,OSF St Joseph Medical Center,Short Term Acute Care Hospital,Bloomington,McLean,Illinois,149.0,137.0,24,24,0.0,0.5641436,12,3.0
1135,Advocate BroMenn Medical Center,Short Term Acute Care Hospital,Normal,McLean,Illinois,221.0,206.0,30,30,0.0,0.3744514,15,3.0
1136,Decatur Memorial Hospital,Short Term Acute Care Hospital,Decatur,Macon,Illinois,300.0,202.0,22,22,0.0,0.4844568,98,9.0
1137,HSHS St Marys Hospital,Short Term Acute Care Hospital,Decatur,Macon,Illinois,244.0,244.0,13,13,0.0,0.4636829,0,4.0
1138,Community Hospital of Staunton (FKA Community Memorial Hospital),Critical Access Hospital,Staunton,Macoupin,Illinois,25.0,25.0,4,4,0.0,0.1481644,0,1.0
1139,Carlinville Area Hospital,Critical Access Hospital,Carlinville,Macoupin,Illinois,25.0,25.0,4,4,0.0,0.2690411,0,2.0
1140,HSHS St Josephs Hospital - Highland,Critical Access Hospital,Highland,Madison,Illinois,25.0,25.0,4,4,0.0,0.6449315,0,1.0
1141,Anderson Hospital,Short Term Acute Care Hospital,Maryville,Madison,Illinois,154.0,130.0,24,24,0.0,0.5083035,24,3.0
1142,Gateway Regional Medical Center,Short Term Acute Care Hospital,Granite City,Madison,Illinois,338.0,288.0,12,12,0.0,0.2726884,50,2.0
1143,OSF Saint Anthonys Health Center,Short Term Acute Care Hospital,Alton,Madison,Illinois,203.0,49.0,10,10,0.0,0.5216662,154,2.0
1144,Alton Memorial Hospital,Short Term Acute Care Hospital,Alton,Madison,Illinois,209.0,132.0,12,12,0.0,0.5001868,77,5.0
1145,SSM Health St Marys Hospital - Centralia (FKA St Marys Good Samaritan Inc - Centralia Campus),Short Term Acute Care Hospital,Centralia,Marion,Illinois,124.0,82.0,9,9,0.0,0.4591714,42,4.0
1146,Salem Township Hospital,Critical Access Hospital,Salem,Marion,Illinois,25.0,25.0,4,4,0.0,0.2924932,0,2.0
1147,Mason District Hospital,Critical Access Hospital,Havana,Mason,Illinois,25.0,25.0,4,4,0.0,0.1294247,0,1.0
1148,HSHS St Francis Hospital,Critical Access Hospital,Litchfield,Montgomery,Illinois,25.0,25.0,5,5,0.0,0.4698082,0,2.0
1149,Hillsboro Area Hospital,Critical Access Hospital,Hillsboro,Montgomery,Illinois,25.0,25.0,4,4,0.0,0.2684931,0,2.0
1150,Passavant Area Hospital,Short Term Acute Care Hospital,Jacksonville,Morgan,Illinois,131.0,102.0,9,9,0.0,0.2362342,29,3.0
1151,Rochelle Community Hospital,Critical Access Hospital,Rochelle,Ogle,Illinois,16.0,17.0,4,4,0.0,0.1755036,-1,1.0
1152,Methodist Hospital (FKA Methodist Medical Center of Illinois),Short Term Acute Care Hospital,Peoria,Peoria,Illinois,329.0,198.0,24,24,0.0,0.6401965,131,5.0
1153,OSF Saint Francis Medical Center,Short Term Acute Care Hospital,Peoria,Peoria,Illinois,629.0,629.0,67,67,28.0,0.7696452,0,17.0
1154,Proctor Hospital (FKA Proctor Hospital),Short Term Acute Care Hospital,Peoria,Peoria,Illinois,218.0,109.0,16,16,0.0,0.3450062,109,2.0
1155,Pinckneyville Community Hospital,Critical Access Hospital,Pinckneyville,Perry,Illinois,17.0,17.0,3,3,0.0,0.5058824,0,1.0
1156,Marshall Browning Hospital,Critical Access Hospital,Du Quoin,Perry,Illinois,25.0,25.0,4,4,0.0,0.2313425,0,1.0
1157,Kirby Medical Center (AKA John & Mary Kirby Hospital),Critical Access Hospital,Monticello,Piatt,Illinois,16.0,16.0,3,3,0.0,0.3071918,0,1.0
1158,Illini Community Hospital,Critical Access Hospital,Pittsfield,Pike,Illinois,35.0,25.0,4,4,0.0,0.1191233,10,1.0
1159,Red Bud Regional Hospital,Critical Access Hospital,Red Bud,Randolph,Illinois,25.0,25.0,4,4,0.0,0.605589,0,2.0
1160,Sparta Community Hospital,Critical Access Hospital,Sparta,Randolph,Illinois,25.0,25.0,4,4,0.0,0.1991233,0,1.0
1161,Memorial Hospital,Critical Access Hospital,Chester,Randolph,Illinois,25.0,25.0,4,4,0.0,0.181589,0,1.0
1162,Carle Richland Memorial Hospital,Short Term Acute Care Hospital,Olney,Richland,Illinois,134.0,47.0,8,8,0.0,0.2677937,87,2.0
1163,Genesis Medical Center - Silvis (FKA Genesis Medical Center -Illini Campus),Short Term Acute Care Hospital,Silvis,Rock Island,Illinois,145.0,145.0,7,7,0.0,0.1750402,0,2.0
1164,Trinity Rock Island,Short Term Acute Care Hospital,Rock Island,Rock Island,Illinois,327.0,297.0,20,20,9.0,0.4564273,30,6.0
1165,Memorial Hospital Belleville,Short Term Acute Care Hospital,Belleville,St. Clair,Illinois,216.0,212.0,20,20,0.0,0.6341174,4,10.0
1166,HSHS St Elizabeths Hospital,Short Term Acute Care Hospital,O Fallon,St. Clair,Illinois,289.0,128.0,16,16,0.0,0.7508776,161,4.0
1167,Touchette Regional Hospital,Short Term Acute Care Hospital,Centreville,St. Clair,Illinois,137.0,122.0,21,21,0.0,0.2201213,15,2.0
1168,Harrisburg Medical Center,Short Term Acute Care Hospital,Harrisburg,Saline,Illinois,77.0,40.0,7,7,0.0,0.3308904,37,2.0
1169,Ferrell Hospital,Critical Access Hospital,Eldorado,Saline,Illinois,25.0,25.0,4,4,0.0,0.2983014,0,1.0
1170,HSHS St Johns Hospital,Short Term Acute Care Hospital,Springfield,Sangamon,Illinois,415.0,369.0,45,45,43.0,0.714096,46,10.0
1171,Memorial Medical Center,Short Term Acute Care Hospital,Springfield,Sangamon,Illinois,500.0,390.0,48,48,0.0,0.7295055,110,16.0
1172,Sarah D Culbertson Memorial Hospital,Critical Access Hospital,Rushville,Schuyler,Illinois,22.0,22.0,4,4,0.0,0.1674969,0,0.0
1173,HSHS Good Shepherd Hospital (FKA Shelby Memorial Hospital),Short Term Acute Care Hospital,Shelbyville,Shelby,Illinois,30.0,30.0,5,5,0.0,0.126484,0,2.0
1174,FHN Memorial Hospital,Short Term Acute Care Hospital,Freeport,Stephenson,Illinois,100.0,100.0,8,8,0.0,0.3736712,0,4.0
1175,UnityPoint Health - Pekin Hospital,Short Term Acute Care Hospital,Pekin,Tazewell,Illinois,107.0,107.0,8,8,0.0,0.2129049,0,3.0
1176,Hopedale Medical Complex,Critical Access Hospital,Hopedale,Tazewell,Illinois,25.0,25.0,4,4,0.0,0.213589,0,2.0
1177,Union County Hospital,Critical Access Hospital,Anna,Union,Illinois,47.0,25.0,4,4,0.0,0.2569863,22,2.0
1178,Carle Hoopeston Regional Health Center,Critical Access Hospital,Hoopeston,Vermilion,Illinois,24.0,22.0,4,4,0.0,0.1412204,2,1.0
1179,Horizon Health (FKA Paris Community Hospital),Critical Access Hospital,Paris,Edgar,Illinois,25.0,25.0,4,4,0.0,0.5959452,0,1.0
1180,OSF Sacred Heart Medical Center (FKA Presence United Samaritans Medical Center),Short Term Acute Care Hospital,Danville,Vermilion,Illinois,174.0,174.0,12,12,0.0,0.259282,0,5.0
1181,VA Illiana Health Care System,VA Hospital,Danville,Vermilion,Illinois,401.0,401.0,0,0,,,0,0.0
1182,Wabash General Hospital,Critical Access Hospital,Mount Carmel,Wabash,Illinois,25.0,25.0,4,4,0.0,0.2755069,0,1.0
1183,OSF Holy Family Medical Center,Critical Access Hospital,Monmouth,Warren,Illinois,23.0,23.0,4,4,0.0,0.1519952,0,1.0
1184,Fairfield Memorial Hospital,Critical Access Hospital,Fairfield,Wayne,Illinois,55.0,25.0,4,4,0.0,0.1838904,30,2.0
1185,CGH Medical Center,Short Term Acute Care Hospital,Sterling,Whiteside,Illinois,98.0,96.0,9,9,0.0,0.3685217,2,2.0
1186,AMITA Health Saint Joseph Medical Center Joliet (FKA Presence Saint Joseph Medical Center),Short Term Acute Care Hospital,Joliet,Will,Illinois,489.0,383.0,57,57,0.0,0.4509434,106,18.0
1187,AMITA Health Adventist Medical Center Bolingbrook,Short Term Acute Care Hospital,Bolingbrook,Will,Illinois,138.0,110.0,12,12,0.0,0.4800747,28,3.0
1188,Silver Cross Hospital,Short Term Acute Care Hospital,New Lenox,Will,Illinois,296.0,259.0,28,28,0.0,0.7093329,37,7.0
1189,Heartland Regional Medical Center,Short Term Acute Care Hospital,Marion,Williamson,Illinois,98.0,94.0,18,18,0.0,0.2862431,4,4.0
1190,SIH Herrin Hospital,Short Term Acute Care Hospital,Herrin,Williamson,Illinois,114.0,85.0,8,8,0.0,0.6896374,29,3.0
1191,Marion VA Medical Center,VA Hospital,Marion,Williamson,Illinois,115.0,115.0,2,2,,,0,2.0
1192,Mercyhealth Javon Bea Hospital - Rockton,Short Term Acute Care Hospital,Rockford,Winnebago,Illinois,288.0,278.0,22,22,60.0,0.6147099,10,6.0
1193,OSF Saint Anthony Medical Center,Short Term Acute Care Hospital,Rockford,Winnebago,Illinois,254.0,241.0,38,38,0.0,0.5679077,13,6.0
1194,SwedishAmerican Hospital,Short Term Acute Care Hospital,Rockford,Winnebago,Illinois,333.0,293.0,30,30,0.0,0.4671373,40,5.0
1195,Advocate Eureka Hospital,Critical Access Hospital,Eureka,Woodford,Illinois,25.0,25.0,4,4,0.0,0.1324932,0,1.0
1196,Adams Memorial Hospital,Critical Access Hospital,Decatur,Adams,Indiana,25.0,25.0,4,4,0.0,0.6100822,0,2.0
1197,Dupont Hospital,Short Term Acute Care Hospital,Fort Wayne,Allen,Indiana,131.0,131.0,10,10,29.0,0.3401652,0,2.0
1198,Parkview Ortho Hospital,Short Term Acute Care Hospital,Fort Wayne,Allen,Indiana,37.0,37.0,6,6,0.0,0.4003702,0,1.0
1199,The Orthopedic Hospital (FKA Lutheran Musculoskeletal Center),Short Term Acute Care Hospital,Fort Wayne,Allen,Indiana,39.0,39.0,7,7,0.0,0.3810327,0,1.0
1200,Lutheran Hospital,Short Term Acute Care Hospital,Fort Wayne,Allen,Indiana,396.0,396.0,34,34,34.0,0.6764079,0,12.0
1201,Parkview Regional Medical Center,Short Term Acute Care Hospital,Fort Wayne,Allen,Indiana,542.0,542.0,124,124,38.0,0.7358778,0,18.0
1202,St Joseph Hospital,Short Term Acute Care Hospital,Fort Wayne,Allen,Indiana,88.0,88.0,12,12,0.0,0.4364298,0,3.0
1203,Columbus Regional Hospital (AKA Columbus Regional Health),Short Term Acute Care Hospital,Columbus,Bartholomew,Indiana,225.0,225.0,17,17,0.0,0.3950529,0,7.0
1204,IU Health Blackford Hospital,Critical Access Hospital,Hartford City,Blackford,Indiana,15.0,15.0,4,4,0.0,0.4056621,0,2.0
1205,Witham Health Services,Short Term Acute Care Hospital,Lebanon,Boone,Indiana,68.0,68.0,8,8,0.0,0.2917808,0,2.0
1206,Logansport Memorial Hospital,Short Term Acute Care Hospital,Logansport,Cass,Indiana,44.0,44.0,5,5,0.0,0.2849026,0,3.0
1207,Clark Memorial Hospital,Short Term Acute Care Hospital,Jeffersonville,Clark,Indiana,153.0,153.0,22,22,0.0,0.6196257,0,5.0
1208,Ascension St Vincent Clay (FKA St Vincent Clay Hospital),Critical Access Hospital,Brazil,Clay,Indiana,25.0,25.0,4,4,0.0,0.07824658,0,1.0
1209,IU Health Frankfort Hospital (FKA St Vincent Frankfort Hospital),Critical Access Hospital,Frankfort,Clinton,Indiana,25.0,25.0,5,5,0.0,0.1672329,0,2.0
1210,Daviess Community Hospital,Short Term Acute Care Hospital,Washington,Daviess,Indiana,42.0,42.0,5,5,0.0,0.2703849,0,2.0
1211,Highpoint Health (FKA Dearborn County Hospital),Short Term Acute Care Hospital,Lawrenceburg,Dearborn,Indiana,86.0,86.0,8,8,0.0,0.3380694,0,3.0
1212,Decatur County Memorial Hospital,Critical Access Hospital,Greensburg,Decatur,Indiana,25.0,25.0,4,4,0.0,0.4431781,0,2.0
1213,Parkview DeKalb Hospital (FKA DeKalb Memorial Hospital),Short Term Acute Care Hospital,Auburn,DeKalb,Indiana,37.0,37.0,8,8,0.0,0.3216586,0,3.0
1214,IU Health Ball Memorial Hospital,Short Term Acute Care Hospital,Muncie,Delaware,Indiana,320.0,320.0,36,36,23.0,0.6799743,0,22.0
1215,Memorial Hospital and Health Care Center,Short Term Acute Care Hospital,Jasper,Dubois,Indiana,111.0,111.0,26,26,0.0,0.3288905,0,3.0
1216,Elkhart General Hospital,Short Term Acute Care Hospital,Elkhart,Elkhart,Indiana,200.0,200.0,23,23,8.0,0.5256438,0,6.0
1217,Goshen Health Hospital,Short Term Acute Care Hospital,Goshen,Elkhart,Indiana,122.0,122.0,12,12,0.0,0.479744,0,3.0
1218,Baptist Health Floyd (FKA Floyd Memorial Hospital and Health Services),Short Term Acute Care Hospital,New Albany,Floyd,Indiana,236.0,225.0,16,16,0.0,0.6077287,11,8.0
1219,Physicians Medical Center,Short Term Acute Care Hospital,New Albany,Floyd,Indiana,10.0,10.0,2,2,0.0,0.3443836,0,0.0
1220,Gibson General Hospital,Critical Access Hospital,Princeton,Gibson,Indiana,25.0,25.0,5,5,0.0,0.3416986,0,1.0
1221,VA Northern Indiana Health Care System - Marion Campus,VA Hospital,Marion,Grant,Indiana,225.0,225.0,0,0,,,0,0.0
1222,Marion General Hospital,Short Term Acute Care Hospital,Marion,Grant,Indiana,106.0,106.0,19,19,0.0,0.4461876,0,7.0
1223,Greene County General Hospital,Critical Access Hospital,Linton,Greene,Indiana,25.0,25.0,5,5,0.0,0.2820822,0,2.0
1224,IU Health North Hospital,Short Term Acute Care Hospital,Carmel,Hamilton,Indiana,149.0,149.0,29,29,29.0,0.5244461,0,4.0
1225,St Vincent Heart Center of Indiana,Short Term Acute Care Hospital,Indianapolis,Hamilton,Indiana,107.0,107.0,19,19,0.0,0.5075663,0,5.0
1226,Ascension St Vincent Carmel (FKA St Vincent Carmel Hospital),Short Term Acute Care Hospital,Carmel,Hamilton,Indiana,153.0,153.0,10,10,15.0,0.288674,0,4.0
1227,Riverview Health Noblesville Hospital,Short Term Acute Care Hospital,Noblesville,Hamilton,Indiana,109.0,109.0,15,15,0.0,0.418886,0,2.0
1228,Hancock Regional Hospital (AKA Hancock Health),Short Term Acute Care Hospital,Greenfield,Hancock,Indiana,61.0,61.0,24,24,0.0,0.3682911,0,4.0
1229,Harrison County Hospital,Critical Access Hospital,Corydon,Harrison,Indiana,25.0,25.0,4,4,0.0,0.5244932,0,2.0
1230,IU Health West Hospital (FKA Clarian West Medical Center),Short Term Acute Care Hospital,Avon,Hendricks,Indiana,127.0,127.0,16,16,0.0,0.6376874,0,6.0
1231,Hendricks Regional Health - Danville Hospital,Short Term Acute Care Hospital,Danville,Hendricks,Indiana,133.0,133.0,12,12,0.0,0.3885467,0,4.0
1232,Henry Community Health,Short Term Acute Care Hospital,New Castle,Henry,Indiana,48.0,48.0,10,10,0.0,0.4545091,0,3.0
1233,Ascension St Vincent Kokomo,Short Term Acute Care Hospital,Kokomo,Howard,Indiana,111.0,111.0,13,13,0.0,0.3876836,0,6.0
1234,Community Howard Regional Health,Short Term Acute Care Hospital,Kokomo,Howard,Indiana,109.0,109.0,8,8,0.0,0.4123747,0,4.0
1235,Parkview Huntington Hospital,Short Term Acute Care Hospital,Huntington,Huntington,Indiana,36.0,36.0,6,6,0.0,0.3311263,0,2.0
1236,Schneck Medical Center,Short Term Acute Care Hospital,Seymour,Jackson,Indiana,91.0,91.0,7,7,0.0,0.2629836,0,6.0
1237,Franciscan Health Rensselaer (FKA Jasper County Hospital),Critical Access Hospital,Rensselaer,Jasper,Indiana,25.0,25.0,4,4,0.0,0.1740274,0,2.0
1238,IU Health Jay Hospital (FKA Jay County Hospital),Critical Access Hospital,Portland,Jay,Indiana,25.0,25.0,4,4,0.0,0.2375163,0,2.0
1239,Kings Daughters Health,Short Term Acute Care Hospital,Madison,Jefferson,Indiana,88.0,88.0,6,6,0.0,0.3386364,0,2.0
1240,Ascension St Vincent Jennings (FKA St Vincent Jennings Hospital),Critical Access Hospital,North Vernon,Jennings,Indiana,25.0,25.0,4,4,0.0,0.07068493,0,1.0
1241,Johnson Memorial Hospital (AKA Johnson Memorial Health),Short Term Acute Care Hospital,Franklin,Johnson,Indiana,83.0,83.0,6,6,0.0,0.196435,0,2.0
1242,Good Samaritan Hospital,Short Term Acute Care Hospital,Vincennes,Knox,Indiana,99.0,99.0,30,30,0.0,0.5575481,0,4.0
1243,Kosciusko Community Hospital,Short Term Acute Care Hospital,Warsaw,Kosciusko,Indiana,72.0,72.0,14,14,0.0,0.3180746,0,3.0
1244,Parkview LaGrange Hospital,Critical Access Hospital,La Grange,LaGrange,Indiana,25.0,25.0,4,4,0.0,0.331726,0,2.0
1245,Franciscan Health Munster (FKA Franciscan Healthcare - Munster Franciscan Physicians Hospital LLC),Short Term Acute Care Hospital,Munster,Lake,Indiana,63.0,63.0,9,9,0.0,0.4982387,0,3.0
1246,Pinnacle Hospital,Short Term Acute Care Hospital,Crown Point,Lake,Indiana,18.0,18.0,2,2,0.0,0.5073059,0,1.0
1247,Community Hospital,Short Term Acute Care Hospital,Munster,Lake,Indiana,410.0,410.0,39,39,0.0,0.6056799,0,7.0
1248,Franciscan Health Crown Point (FKA Franciscan St Anthony Health - Crown Point),Short Term Acute Care Hospital,Crown Point,Lake,Indiana,214.0,214.0,22,22,20.0,0.3846883,0,11.0
1249,Franciscan Health Dyer (FKA Franciscan St Margaret Health - Dyer Campus),Short Term Acute Care Hospital,Dyer,Lake,Indiana,110.0,110.0,14,14,0.0,0.4519025,0,6.0
1250,Franciscan Health Hammond (FKA Franciscan St Margaret Health - Hammond Campus),Short Term Acute Care Hospital,Hammond,Lake,Indiana,180.0,180.0,20,20,8.0,0.330179,0,8.0
1251,St Mary Medical Center,Short Term Acute Care Hospital,Hobart,Lake,Indiana,180.0,180.0,20,20,0.0,0.7017656,0,4.0
1252,Methodist Hospitals - Northlake,Short Term Acute Care Hospital,Gary,Lake,Indiana,154.0,154.0,39,39,35.0,0.4923756,0,14.0
1253,St Catherine Hospital,Short Term Acute Care Hospital,East Chicago,Lake,Indiana,165.0,165.0,16,16,0.0,0.4762142,0,3.0
1254,La Porte Hospital,Short Term Acute Care Hospital,La Porte,LaPorte,Indiana,129.0,129.0,20,20,0.0,0.3421897,0,3.0
1255,Franciscan Health Michigan City (FKA Franciscan St Anthony Health - Michigan City),Short Term Acute Care Hospital,Michigan City,LaPorte,Indiana,149.0,149.0,14,14,0.0,0.3705617,0,6.0
1256,IU Health Bedford Hospital,Critical Access Hospital,Bedford,Lawrence,Indiana,25.0,25.0,6,6,0.0,0.4210411,0,3.0
1257,Ascension St Vincent Dunn (FKA St Vincent Dunn Hospital),Critical Access Hospital,Bedford,Lawrence,Indiana,25.0,25.0,5,5,0.0,0.2254247,0,2.0
1258,Ascension St Vincent Anderson (FKA St Johns Health System),Short Term Acute Care Hospital,Anderson,Madison,Indiana,144.0,144.0,21,21,0.0,0.466153,0,6.0
1259,Community Hospital Anderson (FKA Community Hospital of Anderson and Madison County),Short Term Acute Care Hospital,Anderson,Madison,Indiana,134.0,134.0,17,17,0.0,0.5128984,0,7.0
1260,Ascension St Vincent Mercy (FKA St Vincent Mercy Hospital),Critical Access Hospital,Elwood,Madison,Indiana,25.0,25.0,4,4,0.0,0.0979726,0,1.0
1261,Community Hospital North,Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,280.0,280.0,24,24,42.0,0.7377985,0,9.0
1262,Community Hospital South,Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,169.0,169.0,12,12,0.0,0.5962552,0,7.0
1263,Indiana Orthopaedic Hospital (AKA OrthoIndy Hospital Main),Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,38.0,38.0,7,7,0.0,0.3648883,0,2.0
1264,Franciscan Health Indianapolis (FKA Franciscan St Francis Health - Indianapolis),Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,441.0,441.0,91,91,27.0,0.5977573,0,23.0
1265,Ascension St Vincent Hospital - Indianapolis,Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,376.0,376.0,71,71,90.0,0.6321603,0,37.0
1266,Community Hospital East,Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,305.0,305.0,28,28,0.0,0.6891983,0,10.0
1267,Eskenazi Health (AKA Sidney & Lois Eskenazi Hospital),Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,316.0,316.0,87,87,37.0,0.6361713,0,11.0
1268,Veteran Health Indiana - Richard L Roudebush VA Medical Center,VA Hospital,Indianapolis,Marion,Indiana,197.0,197.0,1,1,,,0,2.0
1269,IU Health Methodist Hospital,Short Term Acute Care Hospital,Indianapolis,Marion,Indiana,1226.0,1226.0,76,76,48.0,0.7094468,0,47.0
1270,Plymouth Medical Center (FKA St Josephs Regional Medical Center - Plymouth),Short Term Acute Care Hospital,Plymouth,Marshall,Indiana,45.0,45.0,7,7,0.0,0.3380822,0,3.0
1271,Community Hospital of Bremen,Critical Access Hospital,Bremen,Marshall,Indiana,24.0,24.0,4,4,0.0,0.09360731,0,0.0
1272,Dukes Memorial Hospital,Critical Access Hospital,Peru,Miami,Indiana,25.0,25.0,4,4,0.0,0.3315068,0,2.0
1273,Monroe Hospital,Short Term Acute Care Hospital,Bloomington,Monroe,Indiana,32.0,32.0,8,8,0.0,0.3625856,0,2.0
1274,IU Health Bloomington Hospital,Short Term Acute Care Hospital,Bloomington,Monroe,Indiana,254.0,254.0,16,16,18.0,0.594499,0,13.0
1275,Franciscan Health Crawfordsville (FKA Franciscan St Elizabeth Health - Crawfordsville),Short Term Acute Care Hospital,Crawfordsville,Montgomery,Indiana,29.0,29.0,5,5,0.0,0.2863486,0,2.0
1276,Franciscan Health Mooresville (FKA Franciscan St Francis Health - Mooresville),Short Term Acute Care Hospital,Mooresville,Morgan,Indiana,83.0,83.0,10,10,0.0,0.2275623,0,3.0
1277,Parkview Noble Hospital,Short Term Acute Care Hospital,Kendallville,Noble,Indiana,31.0,31.0,5,5,0.0,0.4145824,0,2.0
1278,Perry County Memorial Hospital,Critical Access Hospital,Tell City,Perry,Indiana,25.0,25.0,4,4,0.0,0.3263562,0,2.0
1279,Porter Regional Hospital (FKA Porter Valparaiso Hospital),Short Term Acute Care Hospital,Valparaiso,Porter,Indiana,276.0,276.0,32,32,14.0,0.623679,0,11.0
1280,Putnam County Hospital,Critical Access Hospital,Greencastle,Putnam,Indiana,25.0,25.0,6,6,0.0,0.2885479,0,2.0
1281,Ascension St Vincent Randolph,Critical Access Hospital,Winchester,Randolph,Indiana,25.0,25.0,4,4,0.0,0.1249315,0,2.0
1282,Margaret Mary Health (FKA Margaret Mary Community Hospital),Critical Access Hospital,Batesville,Ripley,Indiana,25.0,25.0,7,7,0.0,0.5042192,0,3.0
1283,Rush Memorial Hospital,Critical Access Hospital,Rushville,Rush,Indiana,25.0,25.0,4,4,0.0,0.1471781,0,1.0
